"Time","Callsign","Origin","Destination","FuelBurn","TrackMiles","AircraftType","FlightType","Routing","Waypoint","RoutingType","Scenario"
"05:29:49","VLG7723","LEBL","LDDU",523.9,170.5,"A320(MEDIUM)","IFR","KATTI_LDDU","KATTI","Arrival","Current"
"05:31:17","9ASET#2","LDLO","LOWW",125.48,99.2,"BE9L(MEDIUM)","VFR","LDLO_OUTSIDE.FIR.N","OUTSIDE FIR N","Departure","Current"
"05:33:06","CTN4436","LDZA","EDDM",514.53,114.2,"DH8D(MEDIUM)","IFR","LDZA_PODET","PODET","Departure","Current"
"05:33:45","GSW2988","LSZH","LDZD",543.22,167.5,"A319(MEDIUM)","IFR","PEVAL_LDZD","PEVAL","Arrival","Current"
"05:36:00","MGX256","LYPG","LFLL",2009.28,241.5,"B735(MEDIUM)","IFR","LYPG_KATTI","KATTI","Departure","Current"
"05:36:31","THY8LK","LTBA","LJLJ",1332.27,225.2,"A320(MEDIUM)","IFR","SOMUN_LJLJ","SOMUN","Arrival","Current"
"05:37:43","HAKAR","LDSP","LDZD",106.97,61.7,"C525(MEDIUM)","VFR","LDSP_LDZD",NA,"Domestic","Current"
"05:40:54","EWG1876","EDDM","LYTV",1140.13,320.60001,"A319(MEDIUM)","IFR","SABAD_LYTV","SABAD","Arrival","Current"
"05:43:13","AUA681V","LOWW","LDZA",334.25,110.4,"DH8D(MEDIUM)","IFR","KOPRY_LDZA","KOPRY","Arrival","Current"
"05:44:06","CSA819","LDZA","LKPR",303.67,81.4,"AT75(MEDIUM)","IFR","LDZA_OBUTI","OBUTI","Departure","Current"
"05:45:10","SRK2AM","LSZB","LDZD",333,166.3,"SB20(MEDIUM)","IFR","LABIN_LDZD","LABIN","Arrival","Current"
"05:48:56","SAS2835","EKCH","LDPL",425.78,183.39999,"CRJ9(MEDIUM)","IFR","OUTSIDE.FIR.NE_LDPL.1","OUTSIDE FIR NE","Arrival","Current"
"05:49:11","EZY71WB","LFPG","LDSP",759.58,225.7,"A320(MEDIUM)","IFR","LABIN_LDSP","LABIN","Arrival","Current"
"05:50:03","N8181Y#2","LDRI","LFMV",58.8,129.3,"C402(MEDIUM)","IFR","LDRI_LABIN","LABIN","Departure","Current"
"05:51:44","THY36J","LTBA","LDZA",911.5,234.39999,"A320(MEDIUM)","IFR","OUTSIDE.FIR.E_LDZA","OUTSIDE FIR E","Arrival","Current"
"05:51:48","EWG9PR","EDDS","LDZD",612.22,161.39999,"A320(MEDIUM)","IFR","BUSET_LDZD","BUSET","Arrival","Current"
"05:54:10","CTN3T#2","LDZD","LDZA",486.92,109.2,"DH8D(MEDIUM)","IFR","LDZD_LDZA",NA,"Domestic","Current"
"05:55:01","TJS91","LOWI","LDRI",197.97,84.5,"C650(MEDIUM)","IFR","ARMIX_LDRI","ARMIX","Arrival","Current"
"05:55:57","CTN6D","LDDU","LDZA",1700.57,241.89999,"A319(MEDIUM)","IFR","LDDU_LDZA.2",NA,"Domestic","Current"
"05:58:59","ADR52T","LIPQ","LGKF",1751.88,339.89999,"CRJ9(MEDIUM)","IFR","LIPQ_AIOSA","AIOSA","Departure","Current"
"06:00:04","JAF4JW","EBBR","LDDU",1156,298.39999,"B737(MEDIUM)","IFR","SABAD_LDDU","SABAD","Arrival","Current"
"06:00:29","EZY23NQ","LIRN","LDSP",631.47,168.5,"A320(MEDIUM)","IFR","AIOSA_LDSP","AIOSA","Arrival","Current"
"06:05:31","CSA7827","LDSP","LKMT",723.4,230.10001,"AT75(MEDIUM)","IFR","LDSP_OBUTI_2","OBUTI","Departure","Current"
"06:05:36","VTE989#3","LDDU","LYPG",393.72,54.7,"GLEX(MEDIUM)","IFR","LDDU_LYPG",NA,"Domestic","Current"
"06:07:36","RAVEN01","LDZD","LDZL",451.17,107.9,"B12(SHORT)","VFR","LDZD_LDZL",NA,"Domestic","Current"
"06:12:14","AOJ48L","LWSK","LDSB",218.17,191.7,"C25A(MEDIUM)","IFR","OUTSIDE.FIR.S_LDSB","OUTSIDE FIR S","Arrival","Current"
"06:14:32","IBK8NC","EKCH","LDSP",975.53,242.3,"B738(MEDIUM)","IFR","OUTSIDE.FIR.NE_LDSP","OUTSIDE FIR NE","Arrival","Current"
"06:16:03","VLG1277","LDZD","LEBL",1415.4,127.4,"A320(MEDIUM)","IFR","LDZD_XAMIT","XAMIT","Departure","Current"
"06:19:41","CTN410","LDZA","EDDF",1091.02,81.3,"A319(MEDIUM)","IFR","LDZA_OBUTI","OBUTI","Departure","Current"
"06:20:18","VOE22RX","LFML","LDDU",442.8,170.5,"B712(MEDIUM)","IFR","KATTI_LDDU","KATTI","Arrival","Current"
"06:21:22","9ABPR","LDLO","LDPL",3.62,33.4,"C172(MEDIUM)","VFR","LDLO_LDPL_1",NA,"Domestic","Current"
