"Sector","Count","FlightTypes","Scenario","Runway","Run"
"CTR_ZADAR",3,"IFR & VFR","PBN","1","4"
"CTR_ZADAR",1,"IFR & VFR","PBN","1","5"
"CTR_ZADAR",5,"IFR & VFR","PBN","2","1"
"CTR_ZADAR",2,"IFR & VFR","PBN","2","2"
"CTR_ZADAR",2,"IFR & VFR","PBN","2","3"
"CTR_ZADAR",2,"IFR & VFR","PBN","2","4"
"CTR_ZADAR",2,"IFR & VFR","PBN","2","5"
"CTR_ZADAR",6,"Military","Current","1","1"
"CTR_ZADAR",8,"Military","Current","1","2"
"CTR_ZADAR",4,"Military","Current","1","3"
"CTR_ZADAR",7,"Military","Current","1","4"
"CTR_ZADAR",7,"Military","Current","1","5"
"CTR_ZADAR",9,"Military","Current","2","1"
"CTR_ZADAR",3,"Military","Current","2","2"
"CTR_ZADAR",6,"Military","Current","2","3"
"CTR_ZADAR",5,"Military","Current","2","4"
"CTR_ZADAR",3,"Military","Current","2","5"
"CTR_ZADAR",6,"Military","PBN","1","1"
"CTR_ZADAR",4,"Military","PBN","1","2"
"CTR_ZADAR",8,"Military","PBN","1","3"
"CTR_ZADAR",5,"Military","PBN","1","4"
"CTR_ZADAR",5,"Military","PBN","1","5"
"CTR_ZADAR",6,"Military","PBN","2","1"
"CTR_ZADAR",3,"Military","PBN","2","2"
"CTR_ZADAR",7,"Military","PBN","2","3"
"CTR_ZADAR",7,"Military","PBN","2","4"
"CTR_ZADAR",4,"Military","PBN","2","5"
"CTR_ZAGREB",7,"Both IFR","Current","1","1"
"CTR_ZAGREB",6,"Both IFR","Current","1","2"
"CTR_ZAGREB",4,"Both IFR","Current","1","3"
"CTR_ZAGREB",3,"Both IFR","Current","1","4"
"CTR_ZAGREB",6,"Both IFR","Current","1","5"
"CTR_ZAGREB",4,"Both IFR","Current","2","1"
"CTR_ZAGREB",9,"Both IFR","Current","2","2"
"CTR_ZAGREB",3,"Both IFR","Current","2","3"
"CTR_ZAGREB",2,"Both IFR","Current","2","4"
"CTR_ZAGREB",2,"Both IFR","Current","2","5"
"CTR_ZAGREB",2,"Both IFR","PBN","1","1"
"CTR_ZAGREB",5,"Both IFR","PBN","1","2"
"CTR_ZAGREB",4,"Both IFR","PBN","1","3"
"CTR_ZAGREB",8,"Both IFR","PBN","1","4"
"CTR_ZAGREB",9,"Both IFR","PBN","1","5"
"CTR_ZAGREB",5,"Both IFR","PBN","2","1"
"CTR_ZAGREB",6,"Both IFR","PBN","2","2"
"CTR_ZAGREB",5,"Both IFR","PBN","2","3"
"CTR_ZAGREB",7,"Both IFR","PBN","2","4"
"CTR_ZAGREB",10,"Both IFR","PBN","2","5"
"CTR_ZAGREB",4,"IFR & VFR","Current","1","1"
"CTR_ZAGREB",3,"IFR & VFR","Current","1","2"
"CTR_ZAGREB",5,"IFR & VFR","Current","1","3"
"CTR_ZAGREB",5,"IFR & VFR","Current","1","4"
"CTR_ZAGREB",2,"IFR & VFR","Current","1","5"
"CTR_ZAGREB",3,"IFR & VFR","Current","2","1"
"CTR_ZAGREB",3,"IFR & VFR","Current","2","2"
"CTR_ZAGREB",1,"IFR & VFR","Current","2","3"
"CTR_ZAGREB",7,"IFR & VFR","Current","2","4"
