"Airport","Scenario","RoutingType","Waypoint","FuelBurn"
"LDZA","PBN","Arrival","OSLUD",228.93
"LDZA","Current","Departure","OSLUD 1",2200.82
"LDZA","PBN","Departure","OSLUD 1",2200.82
"LDZA","Current","Arrival","OUTSIDE FIR E",3558.72
"LDZA","PBN","Arrival","OUTSIDE FIR E",3558.72
"LDSP","Current","Departure","OUTSIDE FIR N",1965.68
"LDZD","Current","Departure","OUTSIDE FIR N",412.18
"LDSP","PBN","Departure","OUTSIDE FIR N",1965.68
"LDZD","PBN","Departure","OUTSIDE FIR N",412.18
"LDSP","Current","Departure","OUTSIDE FIR N 1",5521.2
"LDSP","PBN","Departure","OUTSIDE FIR N 1",5521.2
"LDPL","Current","Arrival","OUTSIDE FIR NE",4659.61
"LDSP","Current","Arrival","OUTSIDE FIR NE",1917.76
"LDZD","Current","Arrival","OUTSIDE FIR NE",975.83
"LDPL","PBN","Arrival","OUTSIDE FIR NE",4659.61
"LDSP","PBN","Arrival","OUTSIDE FIR NE",1917.76
"LDZD","PBN","Arrival","OUTSIDE FIR NE",975.83
"LDZD","Current","Departure","OUTSIDE FIR NE",1983.32
"LDZD","PBN","Departure","OUTSIDE FIR NE",1983.32
"LDSP","Current","Departure","OUTSIDE FIR NE 1",11615.5
"LDSP","PBN","Departure","OUTSIDE FIR NE 1",11615.5
"LDDU","Current","Arrival","OUTSIDE FIR NW",2939.67
"LDPL","Current","Arrival","OUTSIDE FIR NW",3259.94
"LDSP","Current","Arrival","OUTSIDE FIR NW",8368.96
"LDZD","Current","Arrival","OUTSIDE FIR NW",758.25
"LDDU","PBN","Arrival","OUTSIDE FIR NW",2939.67
"LDPL","PBN","Arrival","OUTSIDE FIR NW",3259.94
"LDSP","PBN","Arrival","OUTSIDE FIR NW",8368.96
"LDZD","PBN","Arrival","OUTSIDE FIR NW",758.25
"LDSP","Current","Departure","OUTSIDE FIR NW",2677.09
"LDZD","Current","Departure","OUTSIDE FIR NW",1700.17
"LDSP","PBN","Departure","OUTSIDE FIR NW",2677.09
"LDZD","PBN","Departure","OUTSIDE FIR NW",1700.17
"LDSB","Current","Arrival","OUTSIDE FIR S",218.17
"LDSP","Current","Arrival","OUTSIDE FIR S",745.8
"LDSB","PBN","Arrival","OUTSIDE FIR S",218.17
"LDSP","PBN","Arrival","OUTSIDE FIR S",745.8
"LDSP","Current","Departure","OUTSIDE FIR S",1797.98
"LDZD","Current","Departure","OUTSIDE FIR S",1014.3
"LDSP","PBN","Departure","OUTSIDE FIR S",1797.98
"LDZD","PBN","Departure","OUTSIDE FIR S",1014.3
"LDZA","Current","Arrival","PERAN",998.51
"LDZA","PBN","Arrival","PERAN",998.51
"LDZA","Current","Arrival","PEROT",1615.23
"LDZA","PBN","Arrival","PEROT",1615.23
"LDZA","Current","Departure","PEROT",395
"LDZA","PBN","Departure","PEROT",395
"LDDU","Current","Arrival","PETOV",8984.36
"LDPL","Current","Arrival","PETOV",578.47
