"Callsign","Origin","Destination","FuelBurn","TrackMiles","AircraftType","RoutingType","Scenario","Runway","Waypoint","Airport"
"N889JA#2","LDDU","LYTV",219.25,23.5,"GLEX(MEDIUM)","Departure","Current","2","LYTV","LDDU"
"VOE2720","LFST","LDDU",1280.17,322.70001,"B712(MEDIUM)","Arrival","Current","2","LABIN","LDDU"
"BTI9PG","EVRA","LDDU",258.08,109.3,"B735(MEDIUM)","Arrival","Current","2","MOKUN","LDDU"
"JSY216D","LGKR","LDZA",281.8,294.89999,"C25A(MEDIUM)","Arrival","Current","2","AIOSA","LDZA"
"EWG4082","EDLW","LDSP",873.08,255,"A319(MEDIUM)","Arrival","Current","2","OUTSIDE.FIR.NW","LDSP"
"LGL463","ELLX","LDSB",745.95,256.70001,"DH8D(MEDIUM)","Arrival","Current","2","LABIN","LDSB"
"AFR62TY","LDDU","LFPG",2343.03,344,"A319(MEDIUM)","Departure","Current","2","PEVAL.1","LDDU"
"DLH5NV","EDDF","LDDU",1109.12,298.39999,"A320(MEDIUM)","Arrival","Current","2","SABAD","LDDU"
"CTN3RC","LDDU","LGAV",647.2,77.9,"CRJ9(MEDIUM)","Departure","Current","2","MOKUN","LDDU"
"EZY17VX","LDSP","EGKK",2072.92,241.89999,"A320(MEDIUM)","Departure","Current","2","PEVAL.1","LDSP"
"DLH1721","LDZD","EDDM",1656.43,168,"A320(MEDIUM)","Departure","Current","2","BUSET","LDZD"
"GMI87QS","LDDU","LFBO",1682.72,190.3,"A319(MEDIUM)","Departure","Current","2","XOLTA","LDDU"
"TRA37X","LDSP","EHRD",2240.72,238.60001,"B738(MEDIUM)","Departure","Current","2","BUSET","LDSP"
"RYR15QH","LDZD","EDJA",1820.72,169.2,"B738(MEDIUM)","Departure","Current","2","PEVAL.1","LDZD"
"DLH4LT","EDDF","LDSP",1197.48,224.2,"A321(MEDIUM)","Arrival","Current","2","ARMIX","LDSP"
"AEE781","LDZA","LGAV",890.75,241.60001,"DH8D(MEDIUM)","Departure","Current","2","NILKU","LDZA"
"CTN433","EDDT","LDSP",686.85,211.5,"A319(MEDIUM)","Arrival","Current","2","SABAD","LDSP"
"EZY9006","LDSP","EGKK",1952.63,242.7,"A319(MEDIUM)","Departure","Current","2","PEVAL.1","LDSP"
"DLH5YW","EDDF","LDPL",272.32,134.10001,"CRJ9(MEDIUM)","Arrival","Current","2","OUTSIDE.FIR.NW","LDPL"
"EWG961","LDRI","EDDK",1332.17,110.7,"A319(MEDIUM)","Departure","Current","2","ALIVO","LDRI"
"EWG9901","LDZA","EDDL",411.27,81.2,"DH8D(MEDIUM)","Departure","Current","2","OBUTI","LDZA"
"IBE3277","LDSP","LEMD",1744.62,129.5,"A321(MEDIUM)","Departure","Current","2","VELUG","LDSP"
