"Time","Sector","Entries","Scenario","Runway"
"07:20","TMA_DUBROVNIK",11,"Current","1"
"07:20","TMA_SPLIT",18,"Current","1"
"07:20","TMA_ZADAR",10,"Current","1"
"07:20","TMA_OSIJEK",1,"Current","1"
"07:30","TMA_ZAGREB",10,"Current","1"
"07:30","TMA_PULA",14,"Current","1"
"07:30","TMA_DUBROVNIK",14,"Current","1"
"07:30","TMA_SPLIT",15,"Current","1"
"07:30","TMA_ZADAR",10,"Current","1"
"07:30","TMA_OSIJEK",1,"Current","1"
"07:40","TMA_ZAGREB",14,"Current","1"
"07:40","TMA_PULA",17,"Current","1"
"07:40","TMA_DUBROVNIK",15,"Current","1"
"07:40","TMA_SPLIT",15,"Current","1"
"07:40","TMA_ZADAR",8,"Current","1"
"07:40","TMA_OSIJEK",1,"Current","1"
"07:50","TMA_ZAGREB",12,"Current","1"
"07:50","TMA_PULA",16,"Current","1"
"07:50","TMA_DUBROVNIK",15,"Current","1"
"07:50","TMA_SPLIT",18,"Current","1"
"07:50","TMA_ZADAR",10,"Current","1"
"07:50","TMA_OSIJEK",2,"Current","1"
"08:00","TMA_ZAGREB",9,"Current","1"
"08:00","TMA_PULA",16,"Current","1"
"08:00","TMA_DUBROVNIK",18,"Current","1"
"08:00","TMA_SPLIT",16,"Current","1"
"08:00","TMA_ZADAR",8,"Current","1"
"08:00","TMA_OSIJEK",2,"Current","1"
"08:10","TMA_ZAGREB",11,"Current","1"
"08:10","TMA_PULA",16,"Current","1"
"08:10","TMA_DUBROVNIK",17,"Current","1"
"08:10","TMA_SPLIT",18,"Current","1"
"08:10","TMA_ZADAR",6,"Current","1"
"08:10","TMA_OSIJEK",2,"Current","1"
"08:20","TMA_ZAGREB",13,"Current","1"
"08:20","TMA_PULA",12,"Current","1"
"08:20","TMA_DUBROVNIK",16,"Current","1"
"08:20","TMA_SPLIT",18,"Current","1"
"08:20","TMA_ZADAR",6,"Current","1"
"08:20","TMA_OSIJEK",3,"Current","1"
"08:30","TMA_ZAGREB",17,"Current","1"
"08:30","TMA_PULA",12,"Current","1"
"08:30","TMA_DUBROVNIK",16,"Current","1"
"08:30","TMA_SPLIT",20,"Current","1"
"08:30","TMA_ZADAR",5,"Current","1"
"08:30","TMA_OSIJEK",3,"Current","1"
"08:40","TMA_ZAGREB",14,"Current","1"
"08:40","TMA_PULA",9,"Current","1"
"08:40","TMA_DUBROVNIK",16,"Current","1"
"08:40","TMA_SPLIT",20,"Current","1"
"08:40","TMA_ZADAR",6,"Current","1"
"08:40","TMA_OSIJEK",2,"Current","1"
"08:50","TMA_ZAGREB",16,"Current","1"
"08:50","TMA_PULA",14,"Current","1"
"08:50","TMA_DUBROVNIK",17,"Current","1"
"08:50","TMA_SPLIT",18,"Current","1"
"08:50","TMA_ZADAR",4,"Current","1"
"08:50","TMA_OSIJEK",1,"Current","1"
"09:00","TMA_ZAGREB",19,"Current","1"
"09:00","TMA_PULA",16,"Current","1"
"09:00","TMA_DUBROVNIK",13,"Current","1"
"09:00","TMA_SPLIT",18,"Current","1"
"09:00","TMA_ZADAR",4,"Current","1"
"09:00","TMA_OSIJEK",2,"Current","1"
"09:10","TMA_ZAGREB",18,"Current","1"
"09:10","TMA_PULA",22,"Current","1"
"09:10","TMA_DUBROVNIK",17,"Current","1"
"09:10","TMA_SPLIT",18,"Current","1"
"09:10","TMA_ZADAR",5,"Current","1"
"09:10","TMA_OSIJEK",4,"Current","1"
"09:20","TMA_ZAGREB",16,"Current","1"
"09:20","TMA_PULA",24,"Current","1"
"09:20","TMA_DUBROVNIK",20,"Current","1"
"09:20","TMA_SPLIT",19,"Current","1"
"09:20","TMA_ZADAR",7,"Current","1"
"09:20","TMA_OSIJEK",3,"Current","1"
